job_title,so_viec_lam
quản lý chi nhánh,9
điều dưỡng,9
nhân viên văn phòng biết tiếng trung,9
kỹ thuật hiện trường,9
business development,9
nhân viên kiểm soát nội bộ,9
nhân viên bán hàng tại showroom,9
trưởng nhóm digital marketing,9
thư ký dự án,9
quản lý vùng,9
giám sát hiện trường,9
kỹ thuật viên khúc xạ,9
nhân viên tư vấn trả góp trực tại cửa hàng,9
nhân viên kinh doanh horeca,9
nhân viên logistics,9
giáo viên tiếng trung,9
giáo viên tiểu học,9
phó phòng tài chính kế toán,9
kế toán,9
chuyên viên dịch vụ khách hàng,9
chuyên viên hành chính nhân sự tổng hợp,9
kế toán quản trị,9
nhân viên kinh doanh hà nội,9
nhân viên sale thị trường,9
nhân viên phiên dịch tiếng nhật,9
trợ lý sản xuất,9
nhân viên an toàn,9
makerting manager,9
đầu bếp,9
nhân viên kinh doanh thị trường trình dược viên otc,9
nhân viên facebook ads,9
nhân viên hỗ trợ thanh toán địa bàn,8
quản lý khu vực,8
trưởng phòng hành chính,8
giáo viên toán,8
tư vấn tuyển sinh,8
kiến trúc sư nội thất,8
giáo viên tiếng anh mầm non,8
kỹ sư giám sát,8
international sales executive,8
kế toán ngân hàng,8
nhân viên thiết kế kỹ thuật,8
tư vấn viên tại spa,8
trưởng nhóm telesales,8
kỹ sư bán hàng,8
kỹ sư tự động hóa,8
trợ lý chủ tịch,8
kỹ sư môi trường,8
giám đốc tài chính,8
qa manager,8
nhân viên tư vấn trả góp kênh xe máy,8
nhân viên bán hàng kiêm thu ngân,8
nhân viên kinh doanh bđs,8
nhân viên điều phối hàng hóa,8
kế toán chi phí,8
nhân viên tư vấn qua điện thoại,8
tư vấn viên thẩm mỹ viện,8
phiên dịch viên tiếng hàn,8
nhân viên kế toán chi phí,8
trợ lý giám đốc tiếng trung,8
chuyên viên tư vấn tài chính bảo hiểm,8
chuyên viên mua hàng quốc tế,8
nhân viên tư vấn tài chính,8
nhân viên sales thị trường,8
nhân viên kinh doanh tại hà nội,8
senior graphic designer,8
sales supervisor,8
nhân viên vận hành,8
nhân viên kiểm tra chất lượng,8
cửa hàng trưởng ch thời trang,8
nhân viên kinh doanh sales,8
nhân viên truyền thông,8
chuyên viên kế hoạch sản xuất,8
tổ trưởng cửa hàng,8
nhân viên kỹ thuật ô tô,8
nhân viên seo marketing,8
nhân viên đào tạo,8
nhân viên kinh doanh kỹ thuật,8
nhân viên kế toán quỹ,8
store manager,8
cộng tác viên tuyển dụng,8
nhân viên kỹ thuật điện tử,8
nhân viên điều dưỡng,8
nhân viên sản xuất,8
trợ lý kinh doanh tiếng trung,8
senior sales executive,8
chuyên viên kinh doanh bđs,8
trưởng phòng kế toán,8
nhân viên hồ sơ thầu,8
nhân viên kinh doanh thuốc bảo vệ thực vật,8
nhân viên kinh doanh mỹ phẩm,8
tester,7
nhân viên điều phối,7
nhân viên mua hàng nhập khẩu,7
nhân viên kinh doanh sản phẩm phân bón thuốc bảo vệ thực vật,7
nhân viên chăm sóc khách hàng thời vụ viettel,7
nhân viên thiết kế designer,7
nhân viên may mẫu,7
nhân viên kinh doanh thang máy,7
chuyên viên tư vấn bán hàng,7
chuyên viên kinh doanh logistic express,7
chuyên viên sáng tạo nội dung,7
phụ trách kinh doanh khu vực,7
nhân viên thiết kế 2d,7
nhân viên content tiktok,7
chuyên viên tư vấn tài chính,7
nhân viên pha chế,7
nhân viên bảo trì điện lạnh,7
qa supervisor,7
chuyên viên kế toán thanh toán,7
trình dược viên otc etc,7
kỹ sư cầu đường,7
quản lý kinh doanh khu vực,7
product owner,7
nhân viên sales online,7
phó giám đốc xây dựng,7
chuyên viên phát triển sản phẩm,7
nhân viên vận hành sàn tmđt,7
thư ký giám đốc,7
trưởng phòng tài chính kế toán,7
nhân viên thiết kế kiến trúc nội thất,7
nhân viên kỹ thuật điện lạnh,7
nhân viên nghiên cứu và phát triển sản phẩm,7
lập trình viên,7
giám đốc trưởng phòng khách hàng cá nhân,7
nhân viên tư vấn kênh trả góp kênh xe máy điện máy,7
digital marketing manager,7
product specialist,7
host livestream,7
chuyên viên quan hệ khách hàng,7
chuyên viên xuất nhập khẩu,7
lái xe văn phòng,7
kỹ sư nhiệt lạnh,7
chuyên viên kế toán công nợ,7
cộng tác viên kinh doanh,7
trưởng nhóm kinh doanh online,7
tài xế lái xe cho giám đốc,7
đại diện bán hàng kênh gt,7
lễ tân hành chính,7
giám sát xây dựng,7
nhân viên kiểm duyệt hồ sơ viettel không yêu cầu kinh nghiệm,7
export sales executive,7
nhân viên tư vấn trả góp thu nhập lên đến 15 triệu,7
phiên dịch viên,7
chuyên viên tư vấn đầu tư,7
nhân viên chăm sóc khách hàng ngân hàng tpbank,7
nhân viên sáng tạo nội dung,7
kế toán tổng hợp đi làm ngay,7
kế toán doanh thu,7
devops engineer,7
phó phòng hành chính nhân sự,7
kỹ sư trắc địa,7
key account executive,7
nhân viên bán hàng qua điện thoại,7
nhân viên bán hàng không cần bằng cấp,7
nhân viên bán hàng showroom,7
nhân viên tài xế,7
nhân viên editor,7
customer service,7
chuyên viên marketing tổng hợp,7
nhân viên bán hàng nội thất cao cấp,7
content writer,7
nhân viên kinh doanh tiếp thị,7
back end developer,7
nhân viên bán hàng cao cấp làm việc tại trung tâm thương mại,7
sales admin staff,7
sale online,7
quản lý chuyên môn tiếng anh,7
nhân viên theo dõi đơn hàng,7
quản lý nhãn hàng,6
nhân viên sale logistics,6
chuyên viên hỗ trợ kinh doanh,6
trưởng phòng xuất nhập khẩu,6
nhân viên chăm sóc khách hàng vinaphone không yêu cầu kinh nghiệm,6
phó phòng marketing,6
chuyên viên marketing thương hiệu,6
chuyên viên brand marketing,6
nhân viên lái xe nâng,6
nhân viên phân tích nghiệp vụ,6
nhân viên c b,6
quản lý thi công,6
